neighbor_0_id,neighbor_1_id,neighbor_2_id,neighbor_3_id,neighbor_4_id,neighbor_5_id,neighbor_6_id,neighbor_7_id,neighbor_8_id,neighbor_9_id,neighbor_0_dist,neighbor_1_dist,neighbor_2_dist,neighbor_3_dist,neighbor_4_dist,neighbor_5_dist,neighbor_6_dist,neighbor_7_dist,neighbor_8_dist,neighbor_9_dist
753913,162542,797016,92169,185586,895947,557222,58119,292802,430233,11.579903988998716,15.843781818555133,16.730567511634575,18.176560455084253,19.00893931722803,20.307578375065805,21.217759956590005,22.08701666101861,22.679276406153686,23.158103844393814
537913,285610,678798,516586,824999,649688,452862,483351,600998,700490,8.99984667920426,13.668884424280053,15.47967111077659,16.394220639726754,18.730199111134056,19.508152866230635,20.03181943688699,22.572758907508362,23.707656722301557,29.917726528354315
756816,846087,601518,25095,451349,200291,746863,677699,814235,969853,20.09972758507907,20.176755010299697,21.60556934553563,21.796320611911213,22.186957710356698,22.272397180149373,23.429402088594923,26.944939009579002,27.506032897375402,27.862502267278433
906777,640439,239113,96440,45259,10571,121771,250926,645659,526039,6.593082433097997,13.830157756660341,16.250447796570032,16.797301253944198,21.92509026280571,23.065154798188903,26.316406406797284,27.02149241355219,27.044235127898705,28.179777034544443
578412,283273,770415,315571,604182,892458,532718,352500,904973,640125,11.448103528452181,13.897380594780303,14.313569242620895,19.064183223904433,19.399603510957476,20.065683627373797,20.823482576359133,22.696522635070593,23.124043197618157,24.264641036608403
220225,618839,527039,608502,558452,365174,293220,323877,687384,258225,9.815566376312749,12.41850028783535,16.04959249635448,16.838374233953854,18.809523057459877,21.719992044698106,24.052925426013438,24.55995105976283,25.226285284611503,26.258114319117354
185062,169263,811089,456070,909834,126866,554508,211142,890009,901506,14.74059537470725,17.568766792779247,18.29251618842971,19.20177705899245,21.072435351851684,21.307488621390362,21.80644493319517,22.09780441987259,23.725211672246026,24.211977917831216
558190,146658,50085,858192,394051,300084,337246,769999,414351,841462,10.392789041126024,11.619510615026783,12.060341986226648,17.403073384956482,19.608018362761165,19.67681844410663,21.363400455333178,24.798884164616247,25.494532117219165,27.0720669546367
953558,271622,382607,67865,182601,169751,282060,934042,99479,907124,14.329276670013389,15.471411224323301,17.165062795732663,18.154279998813905,18.244464099436502,18.93325097317741,19.16277815741916,22.92070241917787,25.491525175385714,25.865825870490823
191208,183543,665482,944456,778143,909029,26924,463480,495956,212346,11.456740147113562,18.120200868723394,20.346918721344924,20.99145443570836,22.3735621489986,22.420771951330888,23.02846956254481,23.42585475568035,25.06645932457326,25.65847841191491
869350,951117,992506,590552,812152,501698,656973,466468,528711,103741,6.5941490287347575,7.991868679204043,12.14906573627979,14.113189544681363,16.39693547720852,18.388154183501012,19.539667474573317,25.230887004820527,28.07637313693099,29.34414220708961
48953,72876,143187,265566,170713,650811,173358,144445,9304,208916,1.6092618276330832,14.625066641025038,21.59689493862289,23.69441797046684,27.20559399990554,28.31112086106342,32.05621254180081,32.8982273238464,32.9663994472664,34.474648073456834
817882,250218,606259,3206,738985,405305,638528,471305,20148,453869,8.913646588336023,10.507365103828255,13.673650117962445,14.564089424914126,14.833395354950124,15.748213720823143,23.91538510867279,24.30525818326663,25.410680447070156,26.246242767602673
883179,51454,475288,481518,354882,251266,96279,964255,891180,332590,12.753780015664656,16.15245402481832,18.797837820114466,21.988046949161667,22.188952606923415,23.895553328248088,24.78841657889178,24.956766416733792,25.43357749443226,26.07978138612972
445144,594829,958893,321498,123653,911039,170471,412262,440615,19607,5.120172245559321,15.15153033927318,16.5602735339467,18.022908502467736,20.692525393736954,21.163955243394945,21.316027323256428,21.779898092662652,22.32482186878367,23.75497529456949
334225,234722,438054,239424,554498,896014,466548,414711,180266,840042,13.770827260410433,14.254653690516411,15.565009029247037,17.19483082037402,18.90388277640297,19.5528599435013,20.79670236125489,22.55178224343127,25.507585580048392,25.742579861026215
474504,718980,653794,902449,634102,149336,464937,761517,680684,785985,10.761905329597232,16.71442151420426,18.677237221934426,18.811001057980704,20.022187893454188,20.293542905296814,20.866029883529748,20.991848915775165,21.708527550424044,23.39721808525889
312267,801572,168185,315770,484192,561046,272249,833117,382283,688806,2.6412945514762933,16.101115770872003,17.630864144216112,18.812541056435272,23.332100615573125,23.516101235690403,23.876719414770516,28.272627796652007,28.379526438761516,28.535680780589114
848782,270084,637039,598300,746414,618788,799480,867743,757955,354547,15.255092374291294,17.774095569305643,21.452905736399718,24.940233425690778,26.978083145161357,29.179429380078407,29.296849592783957,30.274645158204553,31.90910556614227,32.11756586614971
578291,437138,724717,411219,141062,525922,246463,383907,716131,962865,7.157105723370836,11.38215774117927,11.823942434716653,18.659300772481487,18.89885041115652,19.477087590646434,20.26150682563152,20.89195253303131,21.528803404593955,21.7331347092743
267056,540284,368315,113924,277472,50247,404064,830660,237918,906037,7.877938679735157,12.365001968280533,18.055646004511242,18.728794824967633,23.268079328610447,25.153062813928297,25.15476766701913,25.81191425581286,27.245769612249713,27.306112486685528
384532,386566,678702,863021,617744,243393,648673,943933,973364,383145,9.417587186091318,12.360839541839463,12.798811058117717,14.857819353587946,18.050926633820698,18.465597173256832,20.189414759618316,23.26478499693982,23.336074863064237,23.66641601808442
771620,772833,362132,64741,611097,825747,648890,460007,90507,460707,10.02716980786945,11.433892027835475,12.08834986014967,12.951126082686649,13.144039726694455,13.576781098721094,15.494155911145711,18.964925461641197,21.611639379573774,23.806400222564136
295255,901196,197437,187666,878275,188409,289020,713901,409315,759030,14.896360222614483,16.087709062717117,17.006132049445018,18.306470717184382,18.34735141935911,18.833915570738153,23.205221976834963,25.04769037644666,26.071428168271375,26.07369837615807
728826,488100,484251,841051,257796,522580,52409,703179,923522,104407,12.032445271633863,13.855315486544102,17.984594930992603,20.76524711880972,20.963167408716895,24.223083435705583,24.53245748939482,24.69162812862756,26.869061639372077,28.712768033349388
449830,879619,257608,537528,15673,318553,963697,108342,345850,864884,10.811324279766003,13.016174539708523,13.417933704427279,15.822968370052195,16.538301735097406,18.475833923444494,18.512127811302225,22.577146325424177,23.677934648979864,24.861560765803628
569809,870279,710764,343634,444348,699292,704847,399541,370451,463784,6.445267415250249,6.945639465969497,9.884845813850129,13.22812039477685,17.838992550921,18.59682432857089,21.70111710793985,23.314407659004996,24.44205883312003,26.12704413593419
892280,1093,896523,471026,671913,503107,854968,777729,26296,14132,12.21260471711283,12.255566509184314,14.198603023178263,17.69718662587605,19.771588134125953,21.351971068799735,24.608050307078695,25.327331282893514,25.589603472567745,26.273150412908084
659628,626978,514277,427363,945156,851212,818918,315787,649554,778950,17.370401429045586,17.696293345744976,21.948636024700082,24.95143180429034,25.256376009727443,25.681743935037996,25.702535711353516,29.289605899418145,29.598246984999722,30.76419360477481
394509,144948,133815,497407,239052,358300,10722,679692,72938,615488,8.218587805874852,11.18562035125789,11.972912695080629,16.22933206509939,17.364803179804834,18.835778339122495,19.32206491237446,22.496688295080332,23.321994608363312,25.545541185126876
632392,125928,729124,518986,905134,343808,28869,731681,493909,730799,12.074122118046418,15.000464896979835,22.306628996188703,26.266442357574768,26.753622426758234,27.000549389953367,27.065930209690258,27.450581631863553,29.1731354957938,29.34602455580791
250408,913183,951359,670364,859857,749879,404336,641751,154740,678653,14.321379176473135,17.09029512125397,17.266040261341754,22.051207869987852,24.295295895057226,28.576921610681087,30.119205928799968,30.3438989186437,33.46435212927905,34.37551178802493
85400,650979,152765,779259,985422,883061,460586,752918,536482,278655,10.241630788979153,13.092439122920654,16.861045052743716,22.162243322274378,22.231568581418244,22.52863050037717,22.69074761994177,23.1631049081537,24.252428413972407,24.591764985874228
727111,511603,112696,864586,132661,511372,356706,37315,456935,655378,16.729598916104237,17.14732498905519,19.384354147693696,21.253949118814642,26.737516541352978,29.669382766391276,30.37826087719511,31.68907133407676,32.96361856070154,33.36867800353666
